"","Name","tenure","Econ_Index","Journal_rank","Gender","Ethnicity","Author.Position","Rank","BA_to_PHD","PHD_to_Fac","Fac_to_decision"
"260","Jorge Cruz Lopez",0,"Disciplinary","5","male","1","1",44,9,0,10
"261","Jorge Lemus",1,"Disciplinary","3","male","4","1",28,6,0,6
"262","Joseph Lyon Mullins",0,"Disciplinary","8","male","1","0",44,7,0,8
"263","Joseph Marchand",1,"Disciplinary","3","male","1","1",47,7,0,7
"264","Josh Kinsler",1,"Disciplinary","2","male","1","0",46,8,0,10
"265","Joyee Deb",1,"Disciplinary","1","female","6","0",8,6,0,11
"266","Juan Ortner",1,"Disciplinary","2","male","1","0",12,7,5,8
"267","Julieta Caunedo",1,"Disciplinary","2","female","1","1",14,10,0,8
"268","Jun Ma",1,"Interdisciplinary","3","male","5","1",39,6,0,6
"269","Junichi Suzuki",0,"Disciplinary","3","male","5","1",16,11,0,8
"270","Kalina Manova",0,"Disciplinary","3","female","1","1",4,5,0,9
"271","Kaspar Wuthrich",1,"Interdisciplinary","4","male","1","1",33,7,0,8
"272","Katherine Eriksson",1,"Interdisciplinary","3","female","1","1",45,9,0,8
"273","Katherine Meckel",1,"Disciplinary","2","female","1","1",33,8,1,7
"274","Katheryn (Kadee) Russ",1,"Disciplinary","3","female","1","0",45,11,0,8
"275","Ke-Li Xu",1,"Disciplinary","3","male","5","1",22,7,0,5
"276","Kei Kawai",0,"Disciplinary","1","male","5","1",5,5,0,8
"277","Keisuke Hirano",1,"Interdisciplinary","2","male","5","1",17,6,0,3
"278","Kim J. Ruhl",1,"Disciplinary","2","male","1","2",38,5,0,12
"279","Kory Kroft",1,"Disciplinary","1","male","1","1",16,7,4,6
"280","Kristoffer P. Nimark",1,"Disciplinary","2","male","1","1",14,4,3,14
"281","Kunal Dasgupta",0,"Disciplinary","2","male","6","1",16,8,8,5
"282","Kyle Herkenhoff",1,"Disciplinary","1","male","1","1",21,6,1,7
"283","Kyle Jurado",1,"Disciplinary","1","male","1","1",19,7,0,9
"284","Kyle Mangum",0,"Disciplinary","2","male","1","1",31,7,0,6
"285","Kyungchul Song",1,"Interdisciplinary","3","male","5","1",26,7,0,6
"286","L. Luminita Stevens",1,"Disciplinary","3","female","1","1",24,9,0,8
"287","Ladan Masoudie",1,"Disciplinary","8","female","1","0",15,9,6,7
"288","Latchezar Popov",0,"Disciplinary","5","male","1","1",35,9,0,8
"289","Laura Salisbury",1,"Disciplinary","3","female","1","1",42,7,0,6
"290","Laura Schechter",1,"Disciplinary","2","female","1","0",38,9,0,9
"291","Laura V. Zimmermann",1,"Disciplinary","3","female","1","0",46,6,0,7
"292","Leah K. Lakdawala",0,"Disciplinary","2","female","5","1",23,7,0,8
"293","Leah Platt Boustan",0,"Disciplinary","3","female","1","0",10,6,0,6
"294","Leandro Carvalho",1,"Disciplinary","3","male","1","1",15,9,6,7
"295","Lee Lockwood",0,"Disciplinary","1","male","1","1",9,7,2,5
"296","Leigh L. Linden",1,"Disciplinary","1","male","1","2",30,7,0,7
"297","Leland E. Farmer",1,"Disciplinary","2","male","1","0",35,6,0,7
"298","Levon Barseghyan",1,"Disciplinary","2","male","4","0",14,8,0,8
"299","Li Zhou",1,"Disciplinary","3","female","5","1",47,9,0,7
"300","Liran Einav",1,"Interdisciplinary","3","male","1","0",4,5,0,5
"301","Luigi Bocola",1,"Disciplinary","1","male","1","1",4,9,1,2
"302","Luigi Pistaferri",1,"Disciplinary","5","male","1","1",4,9,1,2
"303","Lutz Hendricks",1,"Disciplinary","2","male","1","0",34,8,0,9
"304","Maggie Xiaoyang Chen",1,"Disciplinary","3","female","5","1",41,6,0,6
"305","Magne Mogstad",1,"Disciplinary","3","male","1","2",3,3,0,4
"306","Maher Said",1,"Disciplinary","2","male","4","1",8,6,1,4
