Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Sel�uk �zyurt,1,Disciplinary,0,male,4,3,42,8,�zyurt
Marcin Pƒôski,1,Disciplinary,1,male,1,3,16,5,Pƒôski
Amanda Pallais,1,Disciplinary,1,female,1,3,1,5,Pallais
Nitya Pandalai-Nayar,1,Disciplinary,1,female,6,3,30,9,Pandalai-Nayar
Rohini Pande,1,Disciplinary,1,female,6,3,10,7,Pande
Vasia Panousi,0,Disciplinary,0,female,1,3,37,7,Panousi
Theodore Papageorgiou,1,Disciplinary,1,male,4,3,32,6,Papageorgiou
Svetlana Pashchenko,1,Disciplinary,0,female,1,3,46,8,Pashchenko
Parag A. Pathak,1,Disciplinary,1,male,6,3,2,5,Pathak
Carlianne E. Patrick,1,Disciplinary,0,female,1,3,31,12,Patrick
Alessandro Pavan,1,Disciplinary,1,male,6,3,9,5,Pavan
Nina Pavcnik,1,Disciplinary,0,female,1,3,48,5,Pavcnik
Gregory Pavlov,1,Disciplinary,0,male,1,3,44,8,Pavlov
Zhuan Pei,1,Disciplinary,1,male,5,3,14,6,Pei
Jeffrey Penney,1,Disciplinary,0,male,1,3,47,9,Penney
Santiago Perez,1,Disciplinary,1,male,1,3,45,9,Perez
Giovanni Peri,1,Disciplinary,1,male,1,3,45,6,Peri
Michael Peters,1,Disciplinary,1,male,1,3,10,8,Peters
Ivan Petkov,0,Interdisciplinary,0,male,1,3,39,7.4,Petkov
Uros Petronijevic,1,Disciplinary,0,male,1,3,42,5,Petronijevic
Toan Phan,0,Disciplinary,0,male,5,3,34,6,Phan
Monika Piazzesi,1,Disciplinary,1,female,1,3,4,6,Piazzesi
Rodrigo Pinto,0,Interdisciplinary,1,male,2,3,20,13,Pinto
Luigi Pistaferri,1,Disciplinary,0,male,1,3,4,9,Pistaferri
Mikkel Plagborg-M√∏ller,1,Disciplinary,0,male,1,3,11,7,Plagborg-M√∏ller
Nolan G. Pope,1,Disciplinary,1,male,1,3,24,6,Pope
Latchezar Popov,0,Disciplinary,0,male,1,3,35,9,Popov
Tommaso Porzio,0,Interdisciplinary,1,male,1,3,33,7,Porzio
Tristan Potter,1,Disciplinary,0,male,1,3,50,6,Potter
Nishith Prakash,1,Interdisciplinary,0,male,6,3,39,8,Prakash
Giorgio E. Primiceri,1,Disciplinary,1,male,1,3,9,6,Primiceri
Silvia Prina,1,Disciplinary,0,female,1,3,39,5,Prina
Steven L. Puller,1,Disciplinary,0,male,1,3,25,8,Puller
Daniela Puzzello,1,Disciplinary,0,female,1,3,22,7,Puzzello
Zhongjun Qu,1,Disciplinary,1,male,5,3,12,7,Qu
Daniel Quint,1,Disciplinary,0,male,1,3,38,10,Quint
Stanislav Rabinovich,1,Disciplinary,0,male,1,3,34,6,Rabinovich
Ananth Ramanarayanan,1,Disciplinary,1,male,6,3,44,5,Ramanarayanan
Ashantha Ranasinghe,1,Disciplinary,0,male,6,3,47,9,Ranasinghe
David S. Rapson,1,Disciplinary,1,male,1,3,45,9,Rapson
Mar Reguant,1,Disciplinary,1,female,1,3,9,5,Reguant
Marit Rehavi,1,Disciplinary,1,female,4,3,26,7,Rehavi
Diego Restuccia,1,Disciplinary,1,male,1,3,16,7,Restuccia
Evan Riehl,1,Disciplinary,0,male,1,3,14,9,Riehl
David A. Rivers,1,Disciplinary,0,male,1,3,44,9,Rivers
James W. Roberts,1,Disciplinary,1,male,1,3,19,5,Roberts
Thorsten Rogall,0,Disciplinary,1,male,1,3,26,8,Rogall
Evan K. Rose,1,Disciplinary,1,male,1,3,3,9,Rose
Yaroslav Rosokha,1,Disciplinary,0,male,1,3,43,7,Rosokha
Matthew B. Ross,1,Interdisciplinary,0,male,1,3,39,5,Ross
Marzena J. Rostek,1,Interdisciplinary,1,female,1,3,38,7,Rostek
Christoph Rothe,0,Disciplinary,1,male,1,3,6,9,Rothe
Kim J. Ruhl,1,Disciplinary,1,male,1,3,38,5,Ruhl
Katheryn (Kadee) Russ,1,Disciplinary,0,female,1,3,45,11,Russ
Nicholas Ryan,1,Disciplinary,1,male,1,3,10,7,Ryan
Marc Rysman,1,Interdisciplinary,1,male,1,3,12,7,Rysman
Mikkel S√∏lvsten,0,Disciplinary,1,male,1,4,38,7,S√∏lvsten
Vjollca Sadiraj,1,Disciplinary,0,female,1,4,31,13,Sadiraj
Philipp Sadowski,1,Disciplinary,1,male,1,4,19,6,Sadowski
Tomasz Sadzik,1,Disciplinary,1,male,1,4,20,5,Sadzik
Felipe E. Saffie,0,Disciplinary,0,male,2,4,24,7,Saffie
Maher Said,1,Disciplinary,1,male,4,4,8,6,Said
Laura Salisbury,1,Disciplinary,0,female,1,4,42,7,Salisbury
Tobias Salz,1,Disciplinary,1,male,1,4,2,7,Salz
Roberto Samaniego,1,Disciplinary,0,male,4,4,41,7,Samaniego
Benjamin MacLean Sand,1,Disciplinary,0,male,1,4,42,6,Sand
Nicholas J. Sanders,1,Disciplinary,0,male,1,4,14,8,Sanders
Andres Santos,1,Interdisciplinary,0,male,1,4,20,7,Santos
Marc Santugini,1,Disciplinary,0,male,2,4,35,8,Santugini
Perihan O. Saygin,0,Interdisciplinary,0,female,4,4,40,7,Saygin
Simone G. Schaner,1,Disciplinary,1,female,1,4,15,12,Schaner
Laura Schechter,1,Disciplinary,1,female,1,4,38,9,Schechter
Florian Scheuer,0,Disciplinary,1,male,1,4,4,5,Scheuer
Burkhard C. Schipper,1,Disciplinary,0,male,1,4,45,8,Schipper
Johannes F. Schmieder,1,Interdisciplinary,1,male,1,4,12,6,Schmieder
Martin Schneider,1,Disciplinary,1,male,1,4,4,6,Schneider
Tatevik Sekhposyan,1,Disciplinary,0,female,4,4,25,9,Sekhposyan
Sheetal Sekhri,1,Disciplinary,0,female,6,4,35,11,Sekhri
Andrey Semenov,1,Disciplinary,0,male,1,4,42,9,Semenov
Carlos Serrano,0,Disciplinary,0,male,1,4,16,7,Serrano
Ricardo Serrano-Padial,1,Disciplinary,1,male,1,4,50,9,Serrano-Padial
Ananth Seshadri,1,Disciplinary,1,male,6,4,38,5,Seshadri
Azeem M. Shaikh,1,Disciplinary,1,male,6,4,3,6,Shaikh
Shu Shen,1,Disciplinary,0,female,5,4,45,7,Shen
Andrew Shephard,1,Disciplinary,1,male,1,4,7,9,Shephard
Xianwen Shi,1,Disciplinary,1,male,5,4,16,11,Shi
Xiaoxia Shi,1,Disciplinary,0,female,5,4,38,9,Shi
Yongseok Shin,1,Disciplinary,1,male,5,4,29,5,Shin
Youngki Shin,0,Disciplinary,0,male,5,4,44,11,Shin
Ran Shorrer,1,Disciplinary,0,male,4,4,17,7,Shorrer
Jacob M. Short,0,Disciplinary,0,male,1,4,44,5,Short
Modibo Sidibe,0,Disciplinary,1,male,3,4,19,7,Sidibe
David Silver,0,Disciplinary,1,male,1,4,11,9,Silver
Ina Simonovska,1,Disciplinary,1,female,1,4,45,5,Simonovska
Tara M. Sinclair,1,Disciplinary,0,female,1,4,41,9,Sinclair
Marciano Siniscalchi,1,Disciplinary,1,male,1,4,9,6,Siniscalchi
Meghan M. Skira,1,Interdisciplinary,0,female,4,4,46,5,Skira
Jonathan Smith,1,Disciplinary,1,male,1,4,31,9,Smith
Nicholas A. Snow,0,Disciplinary,0,male,1,4,22,6,Snow
Anson Soderbery,1,Disciplinary,0,male,1,4,43,5,Soderbery
Kyungchul Song,1,Interdisciplinary,0,male,5,4,26,7,Song
Alan T. Sorensen,1,Disciplinary,1,male,1,4,38,4,Sorensen
Isaac Sorkin,1,Disciplinary,1,male,1,4,4,8,Sorkin
Sebastian Sotelo,1,Disciplinary,1,male,1,4,13,11,Sotelo
Dean Spears,1,Disciplinary,0,male,1,4,30,7,Spears
Stefanie Stantcheva,1,Disciplinary,1,female,1,4,1,7,Stantcheva
Meredith Startz,0,Disciplinary,1,female,1,4,4,10,Startz
L. Luminita Stevens,1,Disciplinary,1,female,1,4,24,9,Stevens
Andrey Stoyanov,1,Disciplinary,0,male,1,4,42,7,Stoyanov
Bruno Strulovici,1,Disciplinary,1,male,1,4,9,7,Strulovici
Tomasz Strzalecki,1,Disciplinary,1,male,1,4,1,6,Strzalecki
Bryan A. Stuart,0,Disciplinary,0,male,1,4,41,6,Stuart
Xuejuan Su,1,Disciplinary,0,female,5,4,47,7,Su
Christopher John Sullivan,0,Disciplinary,0,male,1,4,38,8,Sullivan
Yixiao Sun,1,Disciplinary,1,male,5,4,33,5,Sun
Adi Sunderam,1,Disciplinary,0,male,6,4,1,6,Sunderam
Junichi Suzuki,0,Disciplinary,0,male,5,4,16,11,Suzuki
Ashley Swanson,1,Interdisciplinary,1,female,1,4,38,7,Swanson
Richard L. Sweeney,1,Disciplinary,1,male,1,4,32,11,Sweeney
Michal Szkup,1,Disciplinary,0,male,1,4,26,7,Szkup
Xu Tan,1,Disciplinary,0,male,5,4,36,6,Tan
Rusty Tchernis,1,Disciplinary,0,male,1,4,31,8,Tchernis
Aditi Thapar,0,Disciplinary,0,female,6,4,13,7,Thapar
Mallika Thomas,0,Disciplinary,0,female,6,4,14,8,Thomas
Caroline D. Thomas,1,Disciplinary,1,female,1,4,30,8,Thomas
Andrey Timofeev,1,Interdisciplinary,0,male,1,4,31,9,Timofeev
Alexander Torgovitsky,1,Disciplinary,1,female,1,4,3,6,Torgovitsky
Gustavo Torrens,1,Disciplinary,0,male,1,4,22,10,Torrens
Isabel Trevino,1,Disciplinary,1,female,1,4,33,8,Trevino
Peter G. Troyan,1,Disciplinary,0,male,1,4,35,6,Troyan
Sarah E. Turner,1,Interdisciplinary,0,female,1,4,35,8,Turner
John L. Turner,1,Interdisciplinary,1,male,1,4,46,7,Turner
Robert Ulbricht,1,Disciplinary,1,male,1,4,32,6,Ulbricht
Takuya Ura,1,Disciplinary,0,male,5,4,45,8,Ura
Miguel Urquiola,1,Disciplinary,1,male,1,4,6,8,Urquiola
Sergio Urzua,1,Disciplinary,0,male,1,4,24,7,Urzua
Rosen Valchev,1,Disciplinary,1,male,1,4,32,6,Valchev
Guillaume Vandenbroucke,0,Disciplinary,0,male,1,4,15,3,Vandenbroucke
Nathanael Vellekoop,0,Disciplinary,0,male,1,4,16,8,Vellekoop
Vaidyanathan (Venky) Venkateswaran,1,Disciplinary,1,male,6,4,8,15,Venkateswaran
Valentin Verdier,1,Disciplinary,1,male,1,4,34,5,Verdier
Galina Vereshchagina,1,Disciplinary,1,female,1,4,18,6,Vereshchagina
Eric Verhoogen,1,Disciplinary,1,male,1,4,6,13,Verhoogen
Jonathan Vogel,1,Disciplinary,1,male,1,4,20,6,Vogel
Xiao Yu Wang,0,Disciplinary,1,female,5,4,19,6,Wang
Eric Weese,0,Disciplinary,1,male,5,4,10,5,Weese
Chao Wei,1,Disciplinary,1,female,5,4,41,10,Wei
Stefan Weiergraeber,0,Disciplinary,0,male,1,4,22,6,Weiergraeber
Pierre-Olivier Weill,1,Disciplinary,1,male,1,4,20,7,Weill
Iv√°n Werning,1,Disciplinary,1,male,2,4,2,6,Werning
Jonathan Williams,1,Interdisciplinary,1,male,1,4,34,6,Williams
Benjamin D. Williams,1,Disciplinary,0,male,1,4,41,6,Williams
Tomas Williams,1,Disciplinary,0,male,1,4,41,9,Williams
Thomas Wiseman,1,Disciplinary,1,male,4,4,30,5,Wiseman
Hendrik Wolff,0,Disciplinary,0,male,1,4,36,10,Wolff
Alexander Wolitzky,1,Disciplinary,1,male,4,4,2,4,Wolitzky
Arlene Wong,0,Disciplinary,0,female,5,4,11,10,Wong
Bingxiao Wu,1,Disciplinary,0,female,5,4,27,5,Wu
Kaspar Wuthrich,1,Interdisciplinary,1,male,1,4,33,7,Wuthrich
Wei Xiong,1,Disciplinary,1,male,5,4,11,8,Xiong
Yi (Daniel) Xu,1,Disciplinary,1,female,5,4,19,8,Xu
Ke-Li Xu,1,Disciplinary,0,male,5,4,22,7,Xu
Haiqing Xu,1,Disciplinary,0,male,5,4,30,11,Xu
David Y. Yang,1,Disciplinary,1,male,5,4,1,6,Yang
Dean Yang,1,Disciplinary,1,male,5,4,13,8,Yang
Xiye Yang,1,Disciplinary,0,male,5,4,27,6,Yang
Mu-Jeung Yang,0,Interdisciplinary,0,male,5,4,36,6,Yang
Muhamet Yildiz,1,Disciplinary,1,male,4,4,2,8,Yildiz
Yoto V. Yotov,1,Disciplinary,1,male,4,4,50,5,Yotov
Thomas Youle,0,Disciplinary,0,male,1,4,48,7,Youle
Eric R. Young,1,Disciplinary,0,male,5,4,35,7,Young
Hanzhe Zhang,1,Disciplinary,1,male,5,4,23,5,Zhang
Yuzhe Zhang,1,Disciplinary,0,male,5,4,25,6,Zhang
Yingnan Zhao,0,Disciplinary,0,female,5,4,16,6,Zhao
Li Zhou,1,Disciplinary,0,female,5,4,47,9,Zhou
Owen M. Zidar,1,Disciplinary,1,male,1,4,11,6,Zidar
Laura V. Zimmermann,1,Disciplinary,0,female,1,4,46,6,Zimmermann
Jonathan Zinman,1,Disciplinary,1,male,4,4,48,9,Zinman
Oren Ziv,0,Disciplinary,0,male,4,4,23,8,Ziv
Ben Zou,0,Disciplinary,0,male,5,4,43,9,Zou
Sarah Zubairy,1,Interdisciplinary,1,female,4,4,25,6,Zubairy
Gabriel Zucman,1,Disciplinary,1,male,4,4,5,3,Zucman
