Name,tenure,Econ_Index,Journal_rank,Gender,Ethnicity,Surname_Initials,Rank,BA_to_PHD,Surname
Jonathan T. Kolstad,1,Disciplinary,1,male,1,2,5,7,Kolstad
Wojciech Kopczuk,1,Disciplinary,1,male,1,2,6,5,Kopczuk
Natalia Kovrijnykh,1,Disciplinary,1,female,1,2,18,12,Kovrijnykh
Silvana Krasteva,1,Disciplinary,0,female,1,2,25,5,Krasteva
Daniel Kreisman,1,Interdisciplinary,0,male,4,2,31,7,Kreisman
Kory Kroft,1,Disciplinary,1,male,1,2,16,7,Kroft
Elira Kuka,1,Disciplinary,1,female,1,2,41,6,Kuka
Nicolai V. Kuminoff,1,Interdisciplinary,0,male,1,2,18,7,Kuminoff
Pablo Kurlat,0,Disciplinary,1,male,4,2,4,8,Kurlat
Jennifer La'O,1,Disciplinary,1,female,3,2,6,5,La'O
Aeimit Lakdawala,0,Disciplinary,0,male,1,2,23,6,Lakdawala
Leah K. Lakdawala,0,Disciplinary,0,female,5,2,23,7,Lakdawala
Etienne Lalé,1,Disciplinary,0,male,3,2,42,3,Lalé
Thibaut Lamadon,1,Disciplinary,1,male,1,2,3,10,Lamadon
John Landon-Lane,1,Disciplinary,0,male,1,2,27,5,Landon-Lane
Brad Larsen,0,Disciplinary,1,male,1,2,4,5,Larsen
Danial Lashkari,0,Disciplinary,1,male,4,2,12,13,Lashkari
Ahmad Lashkaripour,1,Disciplinary,0,male,6,2,22,7,Lashkaripour
Andrew Leach,1,Interdisciplinary,0,male,6,2,47,6,Leach
Robin S. Lee,1,Interdisciplinary,1,male,5,2,1,5,Lee
Ajin Lee,0,Disciplinary,0,female,5,2,23,6,Lee
Eunhee Lee,0,Disciplinary,0,female,5,2,24,6,Lee
Soohyung Lee,0,Disciplinary,1,female,5,2,24,10,Lee
Ji Hyung Lee,1,Disciplinary,0,male,5,2,28,8,Lee
SangMok Lee,1,Disciplinary,1,male,5,2,29,8,Lee
Jae Won Lee,0,Disciplinary,0,male,5,2,35,5,Lee
Jorge Lemus,1,Disciplinary,1,male,4,2,28,6,Lemus
